Item Type,SKU,Item Name,QOH,Selling Price,Unit Per Case,Department,Category,Size
Standard,MPL66,MIKES PINK LEMONADE 12 OZ NR,0,38.19,1,MALT BEVERAGE,MIKES,U16
Lot Matrix,MSL24,MIKES STRAW LEM.CANS CASE,0,38.19,24,MALT BEVERAGE,MIKES,U16
Standard,635985224174,MIKES STRAW LEM.CANS 12 PK,0,18.99,1,MALT BEVERAGE,MIKES,U16
Lot Matrix,635985260189,MIKES LEM. 2/12 PK 12 OZCANS CASE,48,38.19,24,MALT BEVERAGE,MIKES,U16
Standard,635985260172,MIKES LEM12 OZCANS 12 PK,6,18.99,1,MALT BEVERAGE,MIKES,U16
Standard,635985260011,MIKES VARIETY 12 OZ CANS12 PAC,-1,18.99,1,MALT BEVERAGE,MIKES,U16
Standard,635985129981,MIKES VARIETY NR  12 PACK,-17,18.99,1,MALT BEVERAGE,MIKES,U16
Standard,635985120018,MIKES LEMONADE NR 12 PACK,-5,18.99,1,MALT BEVERAGE,MIKES,U16
Standard,635985542650,MIKES BLK CHERRY NR 12 PACK,-1,18.99,1,MALT BEVERAGE,MIKES,U16
Standard,635985126119,MIKES CRAN. LEM. NR 12 PACK,0,18.99,1,MALT BEVERAGE,MIKES,U16
Lot Matrix,635985190028,MIKES HARD PEACH 4/6 PK NR CASE,60,38.19,24,MALT BEVERAGE,MIKES,U16
Lot Matrix,092000020010,NOT YOUR FATHERS RB 2/12 PK DISC,0,50.69,24,MALT BEVERAGE,MISC MALT BEVERAGE,U16
Lot Matrix,NYFRB24,NOT YOUR FATHERS RB 2/12 PK CANDISC,0,42.99,24,MALT BEVERAGE,MISC MALT BEVERAGE,U16
Lot Matrix,092000014040,NOT YOUR MOMS ICE TEA 4/6 PK NR CASE,42,47.69,24,MICRO BREW,,U16
Lot Matrix,PBV24,PALM BREEZE VARIETY CAN CASE,0,28.99,24,MALT BEVERAGE,MISC MALT BEVERAGE,U16
Standard,635985200239,PALM BREEZE VARIETY CAN 12 PK,0,15.49,1,MALT BEVERAGE,MISC MALT BEVERAGE,U16
Lot Matrix,092000004027,NOT YOUR FATHERS VAN CRM DISC.,0,50.69,24,MALT BEVERAGE,MISC MALT BEVERAGE,U16
Lot Matrix,WCV24,WHITE CLAW VARIETY CAN CASE,12,41.99,24,MALT BEVERAGE,MISC MALT BEVERAGE,U16
Standard,635985500056,WHITE CLAW VARIETY CAN 12 PK,1,21.99,1,MALT BEVERAGE,MISC MALT BEVERAGE,U16
Lot Matrix,NYFV66,NOT YOUR FATHERS VARIETY 2/12 DISC,0,50.69,24,MALT BEVERAGE,MISC MALT BEVERAGE,U16
Standard,092000020508,NOT YOUR FATHERS VARIETY 12 PK,-1,26.39,1,MALT BEVERAGE,MISC MALT BEVERAGE,U16
Lot Matrix,SNPA16,SIERRA NEV.PALE 1/6 BARREL,0,78.79,1,MALT BEVERAGE,MISC MALT BEVERAGE,B16
Lot Matrix,018200229923,BUDLT PEACH ARITA 2/12 PK 8 OZ CAN CASE,300,25.89,24,MALT BEVERAGE,MISC MALT BEVERAGE,U16
Lot Matrix,018200209932,BUDLT ARITA STRAW 2/12 PK 8 OZ CAN CASE,216,25.89,24,MALT BEVERAGE,MISC MALT BEVERAGE,U16
Standard,018200958144,BUD LIGHT ARITA VARIETY 18 PK,0,10.19,1,MALT BEVERAGE,MISC MALT BEVERAGE,U8
Lot Matrix,CKVARITYCASE,MCKENZIE VARIETY CASE,0,41.69,24,MALT BEVERAGE,MISC MALT BEVERAGE,U16
Standard,022198004325,MCKENZIE VARIETY 12 PACK,0,21.89,1,MALT BEVERAGE,MISC MALT BEVERAGE,U16
Lot Matrix,MCBC66,MCKENZIE BLK CHERRY4/6 PK NR CASE,96,42.29,24,CIDER,CIDER,U16
Standard,018200200021,BEST DAMN ROOT BEER NR CASE,0,40.49,1,MALT BEVERAGE,MISC MALT BEVERAGE,U16
Standard,018200200045,BUD LIGHT ARITA STRAW 12 PK,0,17.49,1,MALT BEVERAGE,MISC MALT BEVERAGE,U16
Standard,018200283161,BEST DAMN CHERRY COLA NR CASE,0,40.49,1,MALT BEVERAGE,MISC MALT BEVERAGE,U16
Lot Matrix,BLLAR,NOT AVAIL,0,32.99,24,MALT BEVERAGE,MISC MALT BEVERAGE,U16
Standard,018200200038,BUD LIGHT ARITA LIME 12 PK,-3,17.49,1,MALT BEVERAGE,MISC MALT BEVERAGE,U16
Standard,BLLEM,BUD LIGHT ARITA LEMON CASE,0,32.99,1,MALT BEVERAGE,MISC MALT BEVERAGE,U16
Standard,018200200052,BUD LIGHT ARITA LEMON 12 PK,0,17.49,1,MALT BEVERAGE,MISC MALT BEVERAGE,U16
Lot Matrix,702770000043,WIDMER HEFE WEIZEN  NR CASE,12,19.99,24,MALT BEVERAGE,MISC MALT BEVERAGE,U16
Lot Matrix,BLAM24,NOT AVAIL,0,32.99,24,MALT BEVERAGE,MISC MALT BEVERAGE,U16
Standard,018200200069,BUD LIGHT ARITA MANGO 12 PK,0,17.49,1,MALT BEVERAGE,MISC MALT BEVERAGE,U8
Lot Matrix,BLAR24,NOT AVAIL,0,32.99,24,MALT BEVERAGE,MISC MALT BEVERAGE,U16
Standard,018200200076,BUD LIGHT ARITA RAZ 12 PK,0,17.49,1,MALT BEVERAGE,MISC MALT BEVERAGE,U8
Lot Matrix,BLAC24,BUD LIGHT ARITA CRAN. CASE,0,32.99,24,MALT BEVERAGE,MISC MALT BEVERAGE,U16
Standard,BLAC12,BUD LIGHT ARITA CRAN. 12 PK,0,17.49,1,MALT BEVERAGE,MISC MALT BEVERAGE,U16
Lot Matrix,SEA WB,SEAGRAMS  WILD BERRY 6/4 PK NR CASE,24,36.19,24,MALT BEVERAGE,SEAGRAMS,U16
Lot Matrix,10080432802875,NOT AVAIL,-16,36.19,24,MALT BEVERAGE,SEAGRAMS,U16
Standard,070310011003,SEAGRAMS BLACKBERRY BREZER,0,36.19,1,MALT BEVERAGE,SEAGRAMS,U16
Lot Matrix,080432802786,SEAGRAMS  VARIETY 2/12 PK NR CASE,96,36.19,24,MALT BEVERAGE,SEAGRAMS,U16
Lot Matrix,10080432802271,SEAGRAMS FUZZY NAVEL 6/4  PK NR CASE,132,36.19,24,MALT BEVERAGE,SEAGRAMS,U16
Lot Matrix,080432103470,SEAGRAMS JAMAICAN ME 2/12 PK NR CASE,156,36.19,24,MALT BEVERAGE,SEAGRAMS,U16
Lot Matrix,SEA STRAW DAQ,SEAGRAMS STRAW DAIQUIRI4/6 PK NR,149,36.19,24,MALT BEVERAGE,SEAGRAMS,U16
Lot Matrix,070310700365,SEAGRAMS SANGRIA 6/4 PK NR  CASE DISC 3/23/17,0,36.19,24,MALT BEVERAGE,SEAGRAMS,U16
Standard,082000778264,SMIRNOFF SCREWDRIVER4/6 PK  NR CASE,0,37.89,1,MALT BEVERAGE,SMIRNOFF,U16
Lot Matrix,080432100882,SEAGRAMS CALYPSO COLADA 4/6 PK NR CASE,52,36.19,24,MALT BEVERAGE,SEAGRAMS,U16
Lot Matrix,070310700334,SEAGRAMS FRUIT PUNCH DISC NR,-24,36.19,24,MALT BEVERAGE,SEAGRAMS,U16
Lot Matrix,SJMH24,SEAGRAMS JAMAC ME2/12 PK  CAN CASE,180,36.19,24,MALT BEVERAGE,SEAGRAMS,U16
Standard,070310012277,SEAGRAMS JAMAC ME CAN 12 PACK,0,17.99,1,MALT BEVERAGE,SEAGRAMS,U16
Lot Matrix,SPFNCASE,SEAGRAMS PEACH FN CAN CAS E DISC 3/23/17E,0,26.19,24,MALT BEVERAGE,SEAGRAMS,U16
Standard,070310012307,SEAGRAMS PEACH FN CAN 12 PACK,0,17.99,1,MALT BEVERAGE,SEAGRAMS,U16
Lot Matrix,SSDCASE,SEAGRAMS STR. DAIQ. 2/12 PK CAN CASE,0,36.19,24,MALT BEVERAGE,SEAGRAMS,U16
Standard,070310012291,SEAGRAMS STR. DAIQ.CAN 12 PACK,0,17.99,1,MALT BEVERAGE,SEAGRAMS,U16
Lot Matrix,SVCCASE,SEAGRAMS  VARIETY 2/12 PK CAN CASE,168,36.19,24,MALT BEVERAGE,SEAGRAMS,U16
Standard,070310012444,SEAGRAMS  VARIETY CAN 12 PK,0,17.99,1,MALT BEVERAGE,SEAGRAMS,U16
Standard,080432802908,SEAGRAMS  VARIETY NR 12 PK,-13,17.99,1,MALT BEVERAGE,SEAGRAMS,U16
Lot Matrix,092000020140,NOT AVAIL,0,50.69,24,MALT BEVERAGE,MISC MALT BEVERAGE,U16
Lot Matrix,SSV24,NOT AVAIL,0,13.99,24,MALT BEVERAGE,SEAGRAMS,U16
Standard,070310013830,SEAGRAMS SODA VAR CAN 12 PACK,0,17.99,1,MALT BEVERAGE,SEAGRAMS,U16
Lot Matrix,SS66,NOT AVAIL,0,13.99,24,MALT BEVERAGE,SEAGRAMS,U16
Standard,070310013847,SEAGRAMS SODA VAR NR 12 PACK,-1,17.99,1,MALT BEVERAGE,SEAGRAMS,U16
Standard,070310014028,SEAGRAMS JAM ME HAPP NR 12 PK,-1,17.99,1,MALT BEVERAGE,SEAGRAMS,U16
Lot Matrix,070310013106,NOT AVAIL,0,36.19,24,MALT BEVERAGE,SEAGRAMS,U16
Lot Matrix,082000725008,SMIRNOFF ICE 2/12 PK NR CASE,84,37.79,24,MALT BEVERAGE,SMIRNOFF,U16
Lot Matrix,082000727552,SMIRNOFF GREEN APPLE 4/6 PK NR CASE,114,37.79,24,MALT BEVERAGE,SMIRNOFF,U16
Lot Matrix,082000732150,SMIRNOFF ICE GRAPE 4/6 PK NR CASE,96,37.79,24,MALT BEVERAGE,SMIRNOFF,U16
Standard,082000727583,NOT AVAL,0,33.99,1,MALT BEVERAGE,SMIRNOFF,U16
Lot Matrix,082000726104,SMIRNOFF TRIPPLE BLACK 4/6 PK NR CASE,120,37.79,24,MALT BEVERAGE,SMIRNOFF,U16
Lot Matrix,SIV66,SMIRNOFF ICE VARIETY 2/12 PK NR CASE,84,37.79,24,MALT BEVERAGE,SMIRNOFF,U16
Lot Matrix,SMIRM,SMIRNOFF  MANGO 4/6 PK NR CASE,50,37.79,24,MALT BEVERAGE,SMIRNOFF,U16
Lot Matrix,082000747857,SMIRNOFF PINEAPPLE 4/6 PK NR CASE,67,37.79,24,MALT BEVERAGE,SMIRNOFF,U16
Lot Matrix,SSA66,SMIRNOFF STRAWBERRYACAI 4/6 PK NR CASE DISC 3/23/17,30,37.79,24,MALT BEVERAGE,SMIRNOFF,U16
Lot Matrix,SPB66,SMIRNOFF PEACH BELLINI 4/6 PK NR CASE,90,37.79,24,MALT BEVERAGE,SMIRNOFF,U16
Standard,082000757634,SMIRNOFF TROPICAL FRUIT CASE,0,37.89,1,MALT BEVERAGE,SMIRNOFF,U16
Standard,082000729082,SMIRNOFF ICE VARIETY NR 12 PAC,-9,17.99,1,MALT BEVERAGE,SMIRNOFF,U16
Standard,SMSB66,SMIRNOFF  STRAW. BELL. NR CASE,0,37.89,1,MALT BEVERAGE,SMIRNOFF,U16
Lot Matrix,082000773702,SMIRNOFF  WATER. MUM. 4/6 PK NR CASE,90,37.79,24,MALT BEVERAGE,SMIRNOFF,U16
Standard,082000725183,SMIRNOFF ICE 12OZ NR 12 PK,-2,17.99,1,MALT BEVERAGE,SMIRNOFF,U16
Standard,SMM66,SMIRNOFF MOSCOW MULE NR CASE,0,37.89,1,MALT BEVERAGE,SMIRNOFF,U16
Lot Matrix,TTCASE,TWISTED TEA 2/12 PK NR CASE,240,36.99,24,MALT BEVERAGE,TWISTED TEA,U16
Lot Matrix,087692681076,TWISTED TEA VARIETY CAN CASE,108,36.99,24,MALT BEVERAGE,TWISTED TEA,U16
Lot Matrix,087692003168,TWISTED TEA BOURBON NR CASE,0,36.99,24,MALT BEVERAGE,TWISTED TEA,U16
Lot Matrix,087692751045,TWISTED TEA  HALF & HALF 2/12 PK NR CASE,228,36.99,24,MALT BEVERAGE,TWISTED TEA,U16
Standard,087692003786,TWISTED TEA VARIETY CA 12 PACK,0,19.49,1,MALT BEVERAGE,TWISTED TEA,U16
Standard,087692831075,TWISTED TEA OZ NR 12 PACK,-5,19.49,1,MALT BEVERAGE,TWISTED TEA,U16
Standard,087692751038,TWISTED TEA 1/2  1/2 NR 12 PK,-1,19.49,1,MALT BEVERAGE,TWISTED TEA,U16
Lot Matrix,TTV66,NOT AVAIL,0,36.99,24,MALT BEVERAGE,TWISTED TEA,U16
Standard,TTVNR12,TWISTED TEA VARIETY NR 12 PACK,0,19.49,1,MALT BEVERAGE,TWISTED TEA,U16
Lot Matrix,BM66,BLUE MOON 2/12 PK  NR CASE,360,37.98,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,014974521256,WOODCHUK AMBER 4/6 PK NR CASE,60,40.19,24,CIDER,CIDER,U16
Lot Matrix,014974600029,WOODCHUK 802 ( DARK  DRY) DISC 3/27/13,0,40.19,24,CIDER,CIDER,U16
Lot Matrix,014974800023,WOODCHUK GRANNY SMITH 4/6 PK 12OZ NR,72,40.19,24,CIDER,CIDER,U16
Lot Matrix,087692111061,NOT AVAIL,0,39.89,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,MH9CASE,MAGIC HAT #9 2/12 PK NR CASE,120,38.99,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,MHVCASE,MAGIC HAT VARIETY 2/12 PK NR CASE,36,36.19,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,041990600030,MAGNERS CIDER 2/12 PK NR CASE,96,47.39,24,CIDER,CIDER,U16
Lot Matrix,009468081644,SARANAC TRAIL MIX VARIETY NR,0,35.69,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,014974400117,WOODCHUK VARIETY 2/12 PK NR CASE,72,40.19,24,CIDER,CIDER,U16
Lot Matrix,071670071065,SARANAC 12 BEERS OF WINTER,0,35.69,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,638489000596,DOGFISH 60 MINUTE NR CASE,174,43.39,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,638489001418,DOGFISH TWEESON DISC,0,52.39,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,LVC66,LEINEN. VARIETY2/12 PK  NR CASE,0,37.89,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,009450032456,SARANAC PUMPKIN ALE,0,31.99,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,638489000121,DOGFISH 90 MINUTE 6/4 PK NR CASE,92,62.69,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,BLMV66,BLUE MOON VAR.2/12 PK NR CASE,108,37.98,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,611250200050,FLYING FISH VARIETY 2/12 PK  NR CASE,72,40.79,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,638489000244,NOT AVAIL,0,999.99,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,DR66,DOGFISH RAISON  NR,0,41.59,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,638489000701,DOGFISH BURTON12 OZ NR 6/4  PK CASE,56,85.39,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,DSA66,DOGFISH SHELTER ALE NR,0,39.58,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,638489001357,DOGFISH 61 MIN. DISC FOR 2016,0,52.39,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,BMCCASE,BLUE MOON 12 OZ 2/12 PK CAN CASE,-84,32.99,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,PECHE,DOGFISH PECHE  NR,0,54.59,24,MICRO BREW,MICRO BREW,U16
Standard,LL18,LABATTS LIGHT 1/8 BARREL,0,26.69,1,MICRO BREW,MICRO BREW,B16
Lot Matrix,856034003339,EVIL GENIUS PURPLE MONKEY 4/6 NR CASE,78,44.99,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,704361011117,GREAT LAKES DORT 4/6 PK NR CASE,30,39.99,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,704361061112,GREAT LAKES ELIOT NESS 4/6 PK NR CASE,24,39.99,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,704361031115,GREAT LAKES BURNING RIVERDISC,0,39.99,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,704361071111,GREAT LAKES COMM.IPA 4/6 PK CASE,144,39.99,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,704361021116,GREAT LAKES EDM. FITZ. 4/6 PK NR CASE,42,39.99,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,856034003056,EVIL EYE IPA 4/6 PK NR CASE,0,39.99,24,MICRO BREW,MICRO BREW,U16
Standard,776029702842,BARKING SQUIRREL 12 OZ NR,0,35.49,1,MICRO BREW,MICRO BREW,U16
Lot Matrix,REDDSAPPLE,REDDS APPLE ALE2/ 12 PK NR CASE,108,35.79,24,CIDER,CIDER,U16
Lot Matrix,LV24,LEINEN. SUMMER SHANDY VARIETY 2/12 PK CAN CASE,0,33.89,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,REDDSSTRAW,REDDS RASPBERRY ALE 2/12 PK NR CASE,24,35.79,24,CIDER,CIDER,U16
Lot Matrix,RAA24,REDDS APPLE 2/12 PK CAN CASE,84,31.99,24,CIDER,CIDER,U16
Lot Matrix,071990095451,BLUE MOON 6/4 PK  16 OZ CAN CASE,60,36.99,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,014974900020,WOODCHUK FALL 12OZ NR,0,40.19,24,CIDER,CIDER,U16
Lot Matrix,WHITEIPACASE,BLUE MOON WHITE IPA NR CASE,0,37.99,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,GDL66,GREENS  DRY HOPPED LAGER,0,57.99,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,SB66,SHINER BOCK 4/6 PK NR CASE,18,36.29,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,SBV66,SHINER VARIETY 2/12 PK NR CASE,36,38.49,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,088573800074,SHINER OKTOBERFEST CASE,0,36.99,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,DPEE,DOGFISH PIERCIN NR,0,51.49,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,RVCASE,REDDS VARIETY 2/12 PK NR CASE,48,35.79,24,CIDER,CIDER,U16
Lot Matrix,815351010581,MAGNERS PEAR  CIDER4/6 PK NR CASE,48,47.39,24,CIDER,CIDER,U16
Lot Matrix,SRR66,SHINER RUBY RED 4/6 PK  NR CASE,36,36.29,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,776029703139,HOPBOT IPA CASE,240,35.49,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,BMV24,BLUE MOON VARIETY 2/12 PK CAN CASE,192,32.99,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,853897002219,SPIKED SELTZER NR CRANBERRY CASE,78,39.89,24,MALT BEVERAGE,,U16
Lot Matrix,887151000529,TRAVELERS CURIOS LEMON SHANDY 4/6 PK NR CASE,0,39.99,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,034100087555,REDDS WICKEDBLACK CHERRY 10 OZ  2/12 PK CAN CASE,180,22.19,24,CIDER,CIDER,U16
Lot Matrix,638489001388,NOT AVAIL,0,4339.99,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,638489001685,DOGFISH SEAQUENCH ALE,0,42.69,24,MICRO BREW,MICRO BREW,U16
Standard,BM16,BLUE MOON 1/6 BARREL,0,74.69,1,MICRO BREW,MICRO BREW,B16
Lot Matrix,853897002189,SPIKED SELTZER GRAPE FRUIT NR CASE,192,39.89,24,MALT BEVERAGE,,U16
Lot Matrix,887151000024,TRAVELERS CURIOS SHANDY/  PK NR CASE,0,39.59,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,887151000079,TRAVELERS GRAPEFRUIT4/6PK NR CASE,0,39.59,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,03434419,REDDS WICKED APPLE 6/4 PK 16 OZ CAN CASE,168,33.39,24,CIDER,CIDER,U16
Lot Matrix,REDDSGREEN,REDDS BLUEBERRY 2/12 PK NR CASE,108,35.79,24,CIDER,CIDER,U16
Standard,CO66,CRISPIN ORIGINAL 12 OZ BOTTLE,0,43.19,1,MICRO BREW,MICRO BREW,U16
Standard,CP,CRISPIN PEAR 12 OZ BOTTLE,0,43.19,1,MICRO BREW,MICRO BREW,U16
Lot Matrix,03434817,REDDS WICKED MANGO 6/4 PK 16 OZ CAN CASE,120,33.39,24,CIDER,CIDER,U16
Standard,014974400124,WOODCHUK VARIETY  12 PK,-2,20.99,1,MICRO BREW,MICRO BREW,U16
Standard,014974512056,WOODCHUK AMBER 12 PACK,0,20.99,1,MICRO BREW,MICRO BREW,U16
Standard,034100003401,REDDS VARIETY NR 12 PACK,-5,18.99,1,MICRO BREW,MICRO BREW,U16
Standard,034100087470,REDDS GREEN APPLE 12 PACK,0,18.99,1,MICRO BREW,MICRO BREW,U16
Standard,034100087227,REDDS APPLE ALE NR 12 PACK,-14,18.99,1,MICRO BREW,MICRO BREW,U16
Standard,034100087326,REDDS  STRAW.NR 12 PACK,-3,18.99,1,MICRO BREW,MICRO BREW,U16
Standard,034100786502,NOT AVAL,0,18.19,1,General,,U16
Standard,034100785741,NOT AVAL,0,19.49,1,General,,U16
Standard,034100087180,REDDS APPLE 12 OZ CAN12 PK,-2,16.99,1,MICRO BREW,MICRO BREW,U16
Standard,798373121254,MAGIC HAT VARIETY NR 12 PK,-3,19.19,1,MICRO BREW,MICRO BREW,U16
Standard,704361123124,GREAT LAKES  VARIETY 12 PACK,-7,20.99,1,MICRO BREW,MICRO BREW,U16
Standard,071990095062,NOT AVAL,0,17.49,1,MICRO BREW,MICRO BREW,U16
Standard,798373121230,MAGIC HAT #9 NR 12 PACK,-3,19.19,1,MICRO BREW,MICRO BREW,U16
Standard,088573960044,SHINER RUBY RED NR 12 PACK,0,19.49,1,MICRO BREW,MICRO BREW,U16
Standard,SHV12,SHINER VARIETY NR 12 PACK,-1,19.49,1,MICRO BREW,MICRO BREW,U16
Standard,SO12,SHINER OKTOBERFEST 12 PACK,0,19.49,1,MICRO BREW,MICRO BREW,U16
Standard,071990386207,NOT AVAL,0,17.49,1,MICRO BREW,MICRO BREW,U16
Lot Matrix,MHVCANCASE,MAGIC HAT  CANTASTIC VARIETY 2/12 PK CAN CASE,156,38.99,24,MICRO BREW,MICRO BREW,U16
Standard,798373300475,MAGIC HAT  VARIETY CAN 12 PACK,-3,18.19,1,MICRO BREW,MICRO BREW,U16
Lot Matrix,MH924,MAGIC HAT #9 2/12 PK CAN CASE,96,38.99,24,MICRO BREW,MICRO BREW,U16
Standard,798373800005,MAGIC HAT #9 CAN 12 PACK,-2,19.19,1,MICRO BREW,MICRO BREW,U16
Standard,071990095161,NOT AVAL,-1,19.49,1,General,,U16
Standard,MHST66,NOT AVAIL,0,36.19,1,MICRO BREW,MICRO BREW,U16
Standard,798373121278,MAGIC HAT WINTER MINGLE 12 PK,-2,19.19,1,MICRO BREW,MICRO BREW,U16
Standard,071990095543,NOT AVAL,0,19.49,1,MICRO BREW,MICRO BREW,U16
Lot Matrix,034100003425,REDDS WICKED RED APPLE ALE 2/12 PK 10 OZ CAN CASE,36,22.19,24,CIDER,CIDER,U16
Lot Matrix,887151002141,CONEY ISLAND RB 2/12 PK NR C ASE DISC,0,45.99,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,CI24,CONEY ISLAND 12 OZ CAN CASEDISC,0,26.99,24,MICRO BREW,MICRO BREW,U16
Standard,887151002226,CONEY ISLAND 12 OZ CAN 12 PACK,-3,23.99,1,MICRO BREW,MICRO BREW,U16
Lot Matrix,TV24,TRAVELERS  VARIETY 2/12 PK  CAN CASE,-12,40.39,24,MICRO BREW,MICRO BREW,U16
Standard,887151003278,TRAVELERS  VARIETY CAN 12PK,0,17.99,1,MICRO BREW,MICRO BREW,U16
Standard,TG24,TRAVELERS GRAPEFRUIT 15 PK CAN CASE,0,20.29,1,MICRO BREW,MICRO BREW,U16
Standard,887151002912,TRAVELERS GRAPEFRUIT CAN 12PK,0,20.79,1,MICRO BREW,MICRO BREW,U16
Lot Matrix,CIV66,CONEY ISLAND VARIETY 2/12 PK  NR CASE DISC,24,45.99,24,MICRO BREW,MICRO BREW,U16
Standard,887151003247,CONEY ISLAND VARIETY NR 12 PK,0,23.99,1,MICRO BREW,MICRO BREW,U16
Standard,611250400023,FLYING FISH VARIETY NR 12 PACK,-5,21.49,1,MICRO BREW,MICRO BREW,U16
Lot Matrix,602755006032,FIRESTONE WALKER UNION JACK IPA 4/6 PK NR CASE,78,44.39,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,638489001586,DOGFISH PA TUXEDO,0,61.69,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,638489001555,DOGFISH HIGHER MATH,0,209.39,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,MHDM66,MAGIC HAT DREAM MACHIN 2/12 PK  NR CASE,36,38.99,24,MICRO BREW,MICRO BREW,U16
Standard,MH#916,MAGIC HAT #9 1/6KEG,0,72.59,1,MICRO BREW,MICRO BREW,B16
Lot Matrix,704361241118,GREAT LAKES CHILL WAVE 6/4PK NR CASE,0,63.19,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,SIPA66,SHINER IPA 4/6 PK NR CASE,0,36.29,24,MICRO BREW,MICRO BREW,U16
Standard,088573533323,SHINER IPA NR 12 PACK,0,19.19,1,MICRO BREW,MICRO BREW,U16
Lot Matrix,SIPA24,SHINER IPA CAN CASE,0,36.99,24,MICRO BREW,MICRO BREW,U16
Standard,088573500158,SHINER IPA CAN 12 PACK,0,19.19,1,MICRO BREW,MICRO BREW,U16
Standard,798373300147,MAGIC HAT DREAM MACHIN NR 12 P,1,20.00,1,MICRO BREW,MICRO BREW,U16
Lot Matrix,034100989231,HENRYS HARD SODA GINGER ALE 4/6 PK NR CASE,0,36.99,24,HARD SODA,HARD SODA,U16
Lot Matrix,034100989187,HENRYS HARD SODA ORANGE 2/12 PK NR CASEDISC,-60,36.99,24,HARD SODA,HARD SODA,U16
Standard,704361200122,GREAT LAKES EDM. FITZ.12 PACK,-1,20.99,1,MICRO BREW,MICRO BREW,U16
Standard,704361700127,GREAT LAKES COMM.IPA 12 PK,0,20.99,1,MICRO BREW,MICRO BREW,U16
Lot Matrix,MHEE,MAGIC HAT ELECT.NR CASE,1,36.19,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,RGA66,REDDS GINGER APPLE DISC,0,21.99,24,CIDER,CIDER,U16
Lot Matrix,798373006131,MAGIC HAT CIRCUS BOYNR CASE,0,36.19,24,MICRO BREW,MICRO BREW,U16
Standard,636823174415,SPRING HOUSE SHE MO CAN 12PK,-2,20.99,1,MICRO BREW,MICRO BREW,U16
Standard,636823174408,SPRING HOUSE BG GRUSOCAN 12 PK,-2,20.99,1,MICRO BREW,MICRO BREW,U16
Standard,636823174392,SPRING HOUSE LEX. DEVCAN 12 PK,-2,20.99,1,MICRO BREW,MICRO BREW,U16
Lot Matrix,SHBG24,SPRING HOUSE BG GRUSO 4/6 PK CAN CASE,-12,39.99,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,SHLD24,SPRING HOUSE LEX. DEV 4/6 PKCAN CASE,78,39.99,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,SHSM66,SPRING HOUSE SHE MO4/6 PK CAN CASE,48,39.99,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,034100516062,LEIN SUMMER SHANDY 2/12 PK NR CASE,0,37.89,24,MICRO BREW,MICRO BREW,U16
Standard,034100516079,LEINEN CRAN. GINGER NR 12 PK,-13,19.49,1,MICRO BREW,MICRO BREW,U16
