Item Type,SKU,Item Name,QOH,Selling Price,Unit Per Case,Department,Category,Size
Standard,029000075375,PLANTERS HEAT PEANUTS,-2,0.50,1,NON TAXABLE MISC,SNACKS,
Standard,029000017078,PLANTERS DRY ROASTED PEANUTS,1,0.69,1,NON TAXABLE MISC,SNACKS,
Standard,029000021112,PLANTERS P.B. CHOC. TRAIL MIX,0,3.19,1,NON TAXABLE MISC,SNACKS,
Standard,029000078628,PLANTERS HONEY ROASTED PEANUTS,5,0.69,1,NON TAXABLE MISC,SNACKS,
Standard,PK,PLANTERS SUNFLOWER KERNELS,0,0.99,1,NON TAXABLE MISC,SNACKS,
Standard,831109001335,PEANUT BUTTER SMALL,0,2.59,1,NON TAXABLE MISC,SNACKS,
Standard,026200140391,SLIM JIM MONSTER HNY BBQ,0,2.79,1,NON TAXABLE MISC,SNACKS,
Standard,026200183237,SLIM JIM TERIYAKI 2.9 OZ,0,5.99,1,NON TAXABLE MISC,SNACKS,
Standard,026200183183,SLIM JIM ORIGINALI 2.9 OZ,0,3.99,1,NON TAXABLE MISC,SNACKS,
Standard,026200230641,SLIM JIM TANGY BBQ,0,1.69,1,NON TAXABLE MISC,SNACKS,
Standard,017082876324,JACKS LINKS PEPPERED 2.85 OZ,0,7.69,1,NON TAXABLE MISC,SNACKS,
Standard,017082876300,JACKS LINKS HICKORY SM 2.85 OZ,0,7.69,1,NON TAXABLE MISC,SNACKS,
Standard,017082876355,JACKS LINKS TERIYAKI 2.85 OZ,8,4.99,1,NON TAXABLE MISC,SNACKS,
Standard,017082876317,JACKS LINKS ORIGINAL 2.85 OZ,4,4.99,1,NON TAXABLE MISC,SNACKS,
Standard,017082876294,JACKS LINKS BBQ 2.85 OZ,0,7.69,1,NON TAXABLE MISC,SNACKS,
Standard,077817101763,BACHMAN TWIST,0,1.49,1,NON TAXABLE MISC,SNACKS,
Standard,077817106102,BACHMAN BUTTER TWIST,0,1.49,1,NON TAXABLE MISC,SNACKS,
Standard,02248303,ORBIT GUM,1,1.29,1,NON TAXABLE MISC,SNACKS,
Standard,041780020079,UTZ ORIGINAL CHIPS,-1,2.79,1,NON TAXABLE MISC,SNACKS,
Standard,041780020673,UTZ SOUR CREAM CHIPS,3,2.79,1,NON TAXABLE MISC,SNACKS,
Standard,075130283180,PEANUTS IN SHELL ROASTED,0,2.49,1,NON TAXABLE MISC,SNACKS,
Standard,083791520094,DIRTY CHIP SOR CREAM 2 OZ,2,1.19,1,NON TAXABLE MISC,SNACKS,
Standard,083791526294,DIRTY CHIP SMOKED BBQ 2 OZ,0,1.19,1,NON TAXABLE MISC,SNACKS,
Standard,083791520018,DIRTY CHIP SEA SALTED 2 OZ,0,1.19,1,NON TAXABLE MISC,SNACKS,
